category_id|content|option_a|option_b|option_c|option_d|correct_answer|explanation
2|The teacher ... a book usually.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book every day.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... football often.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English often.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English every day.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... at the factory always.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... at the factory every day.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... at the factory every morning.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... a book every day.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV always.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... at the factory often.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... at the factory often.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... at the factory usually.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... English usually.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... football every day.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... football always.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... a book every morning.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... a book every day.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... football always.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... at the factory every morning.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... football every day.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... at the factory usually.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... at the factory always.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... at the factory often.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... football always.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... a book always.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... a book usually.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... football often.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... at the factory every day.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... football every day.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... English usually.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... a book every day.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... a book every day.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English often.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... at the factory every morning.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... TV usually.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English every morning.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... at the factory every day.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... a book often.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... English every day.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... TV always.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... English every day.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... a book every morning.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... football often.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... English every day.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... a book usually.|read|reads|is reading|read|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The doctor ... TV often.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... English every day.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... TV every morning.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... at the factory every day.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... at the factory always.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... at the factory usually.|work|works|is working|worked|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|Mary ... football usually.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... English often.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (often). Chủ ngữ số ít dùng động từ thêm s/es.
2|The teacher ... TV every day.|watch|watches|is watching|watched|B|Thì hiện tại đơn diễn tả thói quen (every day). Chủ ngữ số ít dùng động từ thêm s/es.
2|My brother ... football always.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
2|She ... English usually.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (usually). Chủ ngữ số ít dùng động từ thêm s/es.
2|He ... English always.|study|studies|is studying|studied|B|Thì hiện tại đơn diễn tả thói quen (always). Chủ ngữ số ít dùng động từ thêm s/es.
2|John ... football every morning.|play|plays|is playing|played|B|Thì hiện tại đơn diễn tả thói quen (every morning). Chủ ngữ số ít dùng động từ thêm s/es.
